No,criterion,max_depth,min_samples_split,min_samples_leaf,ccp_alpha,class_weight,Cross-Val,Acc
19,gini,,2,3,0.001,,K-Fold (5),0.625
19,gini,,2,3,0.001,,Stratified K-Fold (5),0.761
19,gini,,2,3,0.001,,Leave-One-Out,0.676
19,gini,,2,3,0.001,,K-Fold (10),0.642
19,gini,,2,3,0.001,,Stratified K-Fold (10),0.683
20,gini,,2,3,0.001,balanced,K-Fold (5),0.625
20,gini,,2,3,0.001,balanced,Stratified K-Fold (5),0.761
20,gini,,2,3,0.001,balanced,Leave-One-Out,0.649
20,gini,,2,3,0.001,balanced,K-Fold (10),0.642
20,gini,,2,3,0.001,balanced,Stratified K-Fold (10),0.658
21,gini,,2,3,0.01,,K-Fold (5),0.625
21,gini,,2,3,0.01,,Stratified K-Fold (5),0.761
21,gini,,2,3,0.01,,Leave-One-Out,0.703
21,gini,,2,3,0.01,,K-Fold (10),0.642
21,gini,,2,3,0.01,,Stratified K-Fold (10),0.683
22,gini,,2,3,0.01,balanced,K-Fold (5),0.625
22,gini,,2,3,0.01,balanced,Stratified K-Fold (5),0.761
22,gini,,2,3,0.01,balanced,Leave-One-Out,0.676
22,gini,,2,3,0.01,balanced,K-Fold (10),0.642
22,gini,,2,3,0.01,balanced,Stratified K-Fold (10),0.658
23,gini,,2,3,0.1,,K-Fold (5),0.439
23,gini,,2,3,0.1,,Stratified K-Fold (5),0.511
23,gini,,2,3,0.1,,Leave-One-Out,0.676
23,gini,,2,3,0.1,,K-Fold (10),0.383
23,gini,,2,3,0.1,,Stratified K-Fold (10),0.558
24,gini,,2,3,0.1,balanced,K-Fold (5),0.439
24,gini,,2,3,0.1,balanced,Stratified K-Fold (5),0.511
24,gini,,2,3,0.1,balanced,Leave-One-Out,0.676
24,gini,,2,3,0.1,balanced,K-Fold (10),0.467
24,gini,,2,3,0.1,balanced,Stratified K-Fold (10),0.533
25,gini,,2,4,0.0,,K-Fold (5),0.657
25,gini,,2,4,0.0,,Stratified K-Fold (5),0.679
25,gini,,2,4,0.0,,Leave-One-Out,0.514
25,gini,,2,4,0.0,,K-Fold (10),0.558
25,gini,,2,4,0.0,,Stratified K-Fold (10),0.642
26,gini,,2,4,0.0,balanced,K-Fold (5),0.657
26,gini,,2,4,0.0,balanced,Stratified K-Fold (5),0.679
26,gini,,2,4,0.0,balanced,Leave-One-Out,0.514
26,gini,,2,4,0.0,balanced,K-Fold (10),0.558
26,gini,,2,4,0.0,balanced,Stratified K-Fold (10),0.617
27,gini,,2,4,0.001,,K-Fold (5),0.657
27,gini,,2,4,0.001,,Stratified K-Fold (5),0.679
27,gini,,2,4,0.001,,Leave-One-Out,0.514
27,gini,,2,4,0.001,,K-Fold (10),0.558
27,gini,,2,4,0.001,,Stratified K-Fold (10),0.642
28,gini,,2,4,0.001,balanced,K-Fold (5),0.657
28,gini,,2,4,0.001,balanced,Stratified K-Fold (5),0.679
28,gini,,2,4,0.001,balanced,Leave-One-Out,0.514
28,gini,,2,4,0.001,balanced,K-Fold (10),0.558
